Stock,Epic,Qty,Price,Target,Stop,Date,Sell,Sell Date,P/L
Sanderson,SDG,5000,165.0,195,145,2021-10-29,172.0,2021-12-14,350.0
Entain,ENT,200,1930.0,2400,1820,2021-10-26,2002.0,2021-11-17,144.0
Royal Mail,RMG,1000,416.6,490,393,2021-10-25,500.1,2022-01-18,835.0
Lucedo,LUCE,2000,322.4,390,290,2021-10-21,395.0,2021-11-11,1252.0
Argentex,AGFX,5000,85.4,95,72,2021-10-14,92.0,2022-01-05,330.0
Watches of Switzerland,WOSG,250,1052.0,1250,920,2021-10-13,1420.0,2021-11-22,1190.0
Centralnic,CNIC,5000,112.5,155,95,2021-10-12,143.1,2021-11-30,1530.0
Sureserve,SUR,5000,69.84,95,54,2021-10-06,123.9,2023-05-02,2783.0
Argentex,AGFX,4000,97.2,120,85,2021-09-30,93.0,2021-10-13,-168.0
Watches of Switzerland,WOSG,500,949.1,1100,870,2021-09-30,1344.0,2022-01-14,1975.0
Telecom Plus,TEP,500,1170.0,1400,1100,2021-09-27,1520.0,2021-12-09,1750.0
CMC,CMCX,1500,269.0,350,220,2021-09-22,255.0,2021-11-17,-210.0
Somero,SOM,750,543.75,620,450,2021-09-22,500.0,2021-11-12,-508.0
Avon Protection,AVON,225,1775.8,2100,1650,2021-09-21,1236.0,2021-11-12,-1214.0
Telecom Plus,TEP,1000,1019.3,1250,900,2021-09-20,,,
888,888,1000,390.0,550,350,2021-09-13,434.0,2021-09-28,440.0
Sthree,STEM,800,553.0,640,510,2021-09-10,568.0,2021-11-12,120.0
Gattaca,GATC,2000,197.8,260,150,2021-09-07,149.9,2021-11-25,-958.0
Science,SAG,1000,450.0,530,380,2021-09-07,,,
Morgan Advanced Material,MGAM,1000,399.0,450,340,2021-09-02,389.6,2021-09-17,-94.0
Gattaca,GATC,2500,197.0,250,150,2021-08-23,149.9,2021-11-25,-1178.0
Sureserve,SUR,3500,91.75,110,77,2021-08-19,83.0,2021-09-20,-306.0
Hays,HAS,2500,151.8,185,130,2021-08-17,160.5,2021-11-12,217.0
Ninety One,N91,1250,237.2,320,215,2021-08-10,259.6,2021-09-27,280.0
Spirent,SPT,1000,270.0,330,240,2021-08-09,249.0,2023-01-20,-210.0
Alumasc,ALU,1000,215.0,260,160,2021-08-06,231.4,2021-11-21,164.0
Up Global,UPGS,1000,203.0,245,170,2021-07-30,188.5,2021-09-30,-145.0
Up Global,UPGS,1000,206.0,245,170,2021-07-28,188.5,2021-09-30,-175.0
Morgan Sindall,MGNS,100,2370.0,2600,2000,2021-07-28,2620.7,2021-09-23,250.0
Chemring,CHG,2000,299.0,350,250,2021-07-26,,,
Qinetic,QQ,1000,337.0,380,290,2021-07-23,303.0,2021-10-13,-340.0
Sureserve,SUR,5000,79.9,105,70,2021-07-22,123.9,2023-05-02,2200.0
Entain,ENT,300,1762.0,2200,1600,2021-07-01,2002.0,2021-11-17,720.0
K3C,K3C,1500,327.0,390,300,2021-06-28,347.0,2023-01-12,300.0
Alumasc,ALU,3500,262.8,300,220,2021-06-24,231.4,2021-11-21,-1099.0
Caretech,CTH,1000,603.0,680,560,2021-06-23,657.0,2021-09-27,540.0
Gattaca,GATC,1500,216.0,280,170,2021-06-09,246.4,2021-08-14,456.0
Clipper,CLG,400,764.0,850,710,2021-06-09,811.0,2021-09-27,188.0
Ultra Electronics,ULE,250,2068.0,2270,1900,2021-06-01,3314.0,2021-08-20,3115.0
Alumasc,ALU,2000,235.0,295,210,2021-05-28,231.4,2021-11-21,-72.0
Science,SAG,1500,387.9,480,320,2021-05-28,,,
Team 17,TM17,1000,680.0,820,580,2021-05-21,800.0,2022-01-06,1200.0
Royal Mail,RMG,1000,510.2,580,480,2021-05-20,582.5,2021-06-25,723.0
Synthomer,SYNT,1000,488.9,580,420,2021-05-17,524.0,2021-09-10,351.0
Begbies,BEG,7500,119.6,142,105,2021-05-10,140.1,2021-09-28,1537.0
Sureserve,SUR,5000,75.4,94,60,2021-05-10,123.9,2023-05-02,2418.0
Tyman,TYMN,1500,460.0,540,420,2021-05-07,461.0,2021-06-30,15.0
Up Global,UPGS,5000,151.0,210,120,2021-04-29,224.1,2021-06-17,3650.0
Cohort,CHRT,381,620.0,690,540,2021-04-28,595.9,2021-11-20,-92.0
Gattaca,GATC,1000,149.5,190,100,2021-04-28,246.4,2021-08-14,969.0
Spire Health,SPI,2000,189.2,225,145,2021-04-27,248.0,2021-07-02,1176.0
Lucedo,LUCE,1500,290.0,350,220,2021-04-22,496.5,2021-08-27,3097.0
Ince,INCE,5000,75.2,95,60,2021-04-14,54.0,2021-10-18,-1060.0
Totally,TLY,10000,32.7,45,28,2021-04-13,36.5,2022-09-05,380.0
Eco Animal Health,EAH,1500,330.0,450,270,2021-04-08,290.0,2021-10-14,-600.0
Finncap,FCAP,10000,34.0,42,28,2021-04-07,43.0,2021-05-12,900.0
Spirent,SPT,1000,239.5,280,220,2021-03-30,249.0,2023-01-20,95.0
Polymetal,POLY,400,1398.0,1600,1350,2021-03-28,1630.0,2021-04-23,928.0
Luceco,LUCE,2000,261.5,320,215,2021-03-23,490.5,2021-08-27,6422.0
Luceco,LUCE,1000,241.5,320,205,2021-03-15,490.5,2021-08-27,2490.0
Sureserve,SUR,10000,67.5,110,62,2021-03-11,123.9,2023-05-02,5640.0
Halma,HLMA,250,2285.0,2450,2190,2021-03-10,2560.0,2021-04-11,688.0
Royal Mail,RMG,1000,482.0,550,435,2021-03-10,582.5,2021-06-25,1005.0
ITV,ITV,5000,113.4,140,98,2021-03-01,117.25,2021-08-25,192.0
Mitie,MTO,10000,53.9,70,45,2021-02-24,76.15,2021-06-11,2225.0
Inspiration Heathcare,IHC,5000,94.9,120,82,2021-02-23,126.4,2021-10-06,1575.0
Morgan Sindall,MGNS,500,1495.7,1950,1300,2021-02-23,2620.7,2021-09-23,5625.0
Totally,TLY,10000,30.9,38,26,2021-02-22,36.5,2022-09-05,560.0
Solid State,SOLI,1000,680.0,800,600,2021-02-04,1137.0,2022-01-18,4570.0
Gattaca,GATC,5000,82.0,100,72,2021-02-04,246.4,2021-08-14,7420.0
Supreme,SUP,2500,150.0,220,135,2021-02-01,201.1,2021-09-14,1277.0
IG Group,IGG,1000,752.5,850,720,2021-01-29,830.5,2021-09-24,780.0
K3c,K3C,1000,250.0,320,210,2021-01-29,347.0,2023-01-12,970.0
CMC,CMCX,1000,383.0,450,350,2021-01-25,537.0,2021-04-09,1530.0
RBG Group,RBGP,5000,60.0,80,50,2021-01-15,136.11,2021-05-05,3805.0
RBG Group,RBGP,5000,60.0,80,50,2021-01-15,140.0,2021-09-28,4000.0
Begbies,BEG,7500,99.47,120,80,2021-01-12,120.0,2021-04-12,1540.0
